community	replicate	dilution_factor	wavelength	absorbance
00000000	R1	0.0025	380	0
00000000	R1	0.0025	385	0
00000000	R1	0.0025	390	0
00000000	R1	0.0025	395	0
00000000	R1	0.0025	400	0
00000000	R1	0.0025	405	0
00000000	R1	0.0025	410	0
00000000	R1	0.0025	415	0
00000000	R1	0.0025	420	0
00000000	R1	0.0025	425	0
00000000	R1	0.0025	430	0
00000000	R1	0.0025	435	0
00000000	R1	0.0025	440	0
00000000	R1	0.0025	445	0
00000000	R1	0.0025	450	0
00000000	R1	0.0025	455	0
00000000	R1	0.0025	460	0
00000000	R1	0.0025	465	0
00000000	R1	0.0025	470	0
00000000	R1	0.0025	475	0
00000000	R1	0.0025	480	0
00000000	R1	0.0025	485	0
00000000	R1	0.0025	490	0
00000000	R1	0.0025	495	0
00000000	R1	0.0025	500	0
00000000	R1	0.0025	505	0
00000000	R1	0.0025	510	0
00000000	R1	0.0025	515	0
00000000	R1	0.0025	520	0
00000000	R1	0.0025	525	0
00000000	R1	0.0025	530	0
00000000	R1	0.0025	535	0
00000000	R1	0.0025	540	0
00000000	R1	0.0025	545	0
00000000	R1	0.0025	550	0
00000000	R1	0.0025	555	0
00000000	R1	0.0025	560	0
00000000	R1	0.0025	565	0
00000000	R1	0.0025	570	0
00000000	R1	0.0025	575	0
00000000	R1	0.0025	580	0
00000000	R1	0.0025	585	0
00000000	R1	0.0025	590	0
00000000	R1	0.0025	595	0
00000000	R1	0.0025	600	0
00000000	R1	0.0025	605	0
00000000	R1	0.0025	610	0
00000000	R1	0.0025	615	0
00000000	R1	0.0025	620	0
00000000	R1	0.0025	625	0
00000000	R1	0.0025	630	0
00000000	R1	0.0025	635	0
00000000	R1	0.0025	640	0
00000000	R1	0.0025	645	0
00000000	R1	0.0025	650	0
00000000	R1	0.0025	655	0
00000000	R1	0.0025	660	0
00000000	R1	0.0025	665	0
00000000	R1	0.0025	670	0
00000000	R1	0.0025	675	0
00000000	R1	0.0025	680	0
00000000	R1	0.0025	685	0
00000000	R1	0.0025	690	0
00000000	R1	0.0025	695	0
00000000	R1	0.0025	700	0
00000000	R1	0.0025	705	0
00000000	R1	0.0025	710	0
00000000	R1	0.0025	715	0
00000000	R1	0.0025	720	0
00000000	R1	0.0025	725	0
00000000	R1	0.0025	730	0
00000000	R1	0.0025	735	0
00000000	R1	0.0025	740	0
00000000	R1	0.0025	745	0
00000000	R1	0.0025	750	0
00000000	R1	0.0025	755	0
00000000	R1	0.0025	760	0
00000000	R1	0.0025	765	0
00000000	R1	0.0025	770	0
00000000	R1	0.0025	775	0
00000000	R1	0.0025	780	0
00000000	R1	0.025	380	0
00000000	R1	0.025	385	0
00000000	R1	0.025	390	0
00000000	R1	0.025	395	0
00000000	R1	0.025	400	0
00000000	R1	0.025	405	0
00000000	R1	0.025	410	0
00000000	R1	0.025	415	0
00000000	R1	0.025	420	0
00000000	R1	0.025	425	0
00000000	R1	0.025	430	0
00000000	R1	0.025	435	0
00000000	R1	0.025	440	0
00000000	R1	0.025	445	0
00000000	R1	0.025	450	0
00000000	R1	0.025	455	0
00000000	R1	0.025	460	0
00000000	R1	0.025	465	0
00000000	R1	0.025	470	0
00000000	R1	0.025	475	0
00000000	R1	0.025	480	0
00000000	R1	0.025	485	0
00000000	R1	0.025	490	0
00000000	R1	0.025	495	0
00000000	R1	0.025	500	0
00000000	R1	0.025	505	0
00000000	R1	0.025	510	0
00000000	R1	0.025	515	0
00000000	R1	0.025	520	0
00000000	R1	0.025	525	0
00000000	R1	0.025	530	0
00000000	R1	0.025	535	0
00000000	R1	0.025	540	0
00000000	R1	0.025	545	0
00000000	R1	0.025	550	0
00000000	R1	0.025	555	0
00000000	R1	0.025	560	0
00000000	R1	0.025	565	0
00000000	R1	0.025	570	0
00000000	R1	0.025	575	0
00000000	R1	0.025	580	0
00000000	R1	0.025	585	0
00000000	R1	0.025	590	0
00000000	R1	0.025	595	0
00000000	R1	0.025	600	0
00000000	R1	0.025	605	0
00000000	R1	0.025	610	0
00000000	R1	0.025	615	0
00000000	R1	0.025	620	0
00000000	R1	0.025	625	0
00000000	R1	0.025	630	0
00000000	R1	0.025	635	0
00000000	R1	0.025	640	0
00000000	R1	0.025	645	0
00000000	R1	0.025	650	0
00000000	R1	0.025	655	0
00000000	R1	0.025	660	0
00000000	R1	0.025	665	0
00000000	R1	0.025	670	0
00000000	R1	0.025	675	0
00000000	R1	0.025	680	0
00000000	R1	0.025	685	0
00000000	R1	0.025	690	0
00000000	R1	0.025	695	0
00000000	R1	0.025	700	0
00000000	R1	0.025	705	0
00000000	R1	0.025	710	0
00000000	R1	0.025	715	0
00000000	R1	0.025	720	0
00000000	R1	0.025	725	0
00000000	R1	0.025	730	0
00000000	R1	0.025	735	0
00000000	R1	0.025	740	0
00000000	R1	0.025	745	0
00000000	R1	0.025	750	0
00000000	R1	0.025	755	0
00000000	R1	0.025	760	0
00000000	R1	0.025	765	0
